City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Poum,NC,76.42,clear sky,-20.2333,164.0167,Gîte kajeon
1,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
5,Bonthe,SL,76.33,moderate rain,7.5264,-12.505,Bonthe Holiday Village
6,Fernley,US,73.51,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
7,Atuona,PF,77.38,few clouds,-9.8,-139.0333,Villa Enata
8,Labuhan,ID,81.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
9,Shakawe,BW,75.96,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
10,Denpasar,ID,74.86,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
14,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
15,Rikitea,PF,75.47,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
18,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
21,Bundaberg,AU,87.22,broken clouds,-24.85,152.35,Takalvan Motel
24,Sehithwa,BW,78.53,few clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
33,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Pedernales,DO,80.29,clear sky,18.0384,-71.744,Hotel Costa Marina
39,Kapaa,US,83.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Port Blair,IN,80.73,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
49,Harper,LR,77.45,overcast clouds,4.375,-7.7169,Screensaver
50,Butaritari,KI,83.39,clear sky,3.0707,172.7902,Isles Sunset Lodge
52,Santa Cruz Del Norte,CU,77.72,overcast clouds,23.1539,-81.9236,Felipon Pon Pon
55,Hilo,US,80.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Axim,GH,77.68,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
59,Posse,BR,76.6,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
61,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
62,Sarangani,PH,84.02,scattered clouds,5.4033,125.4636,Ballistic Islet
63,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
67,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
76,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.0833,Scoop Guest House
77,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
79,Wapi Pathum,TH,75.63,overcast clouds,15.8452,103.3768,Nayai Resort
83,Dwarka,IN,78.93,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
85,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
89,Kalmunai,LK,79.5,overcast clouds,7.4167,81.8167,VS Villa
92,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
93,Jibuti,DJ,73.8,few clouds,11.5,42.5,Orchid Main Camp Goubet
94,Yanam,IN,76.46,overcast clouds,16.7333,82.2167,The Regency Hotel
97,Vanimo,PG,84.83,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Bengkulu,ID,76.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Faanui,PF,78.94,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
126,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
127,Blythe,US,89.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
133,Villa Carlos Paz,AR,79.9,overcast clouds,-31.4241,-64.4978,Monte Carlo
134,Kerema,PG,83.84,broken clouds,-7.9631,145.7785,Frena Lodge
136,Caravelas,BR,73.18,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
139,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Fare,PF,78.6,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
146,Puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
147,Andrews,US,72.05,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
149,Ambilobe,MG,73.08,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
153,Bandarbeyla,SO,77.4,light rain,9.4942,50.8122,JABIR HOTEL
157,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
159,Gamba,GA,76.82,overcast clouds,-2.65,10.0,
165,Pacific Grove,US,82.6,few clouds,36.6177,-121.9166,Lovers Point Inn
167,Padang,ID,78.69,overcast clouds,-0.9492,100.3543,Mercure Padang
172,Poso,ID,81.34,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
174,Mufumbwe,ZM,74.39,overcast clouds,-13.6833,24.8,
176,Morondava,MG,74.26,broken clouds,-20.2833,44.2833,La Case Bambou
179,Le Lorrain,MQ,78.75,clear sky,14.8329,-61.0567,Ti'coin Paradis
184,Lorengau,PG,83.28,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
185,Sungairaya,ID,77.52,moderate rain,0.7,108.9,Mess P.Milu
186,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
190,Riberalta,BO,88.0,overcast clouds,-10.9833,-66.1,Hotel Colonial
193,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
197,Dingle,PH,78.49,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Afua,BR,78.04,broken clouds,-0.1567,-50.3867,Hotel Dias
208,Tual,ID,84.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
211,Lufilufi,WS,80.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
213,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
221,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
223,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
230,Puerto Escondido,MX,82.29,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
233,Laguna,US,78.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
234,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
240,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
246,Acapulco,MX,81.19,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
251,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
252,Wad Madani,SD,87.64,broken clouds,14.4012,33.5199,فندق يوغسلافيا
258,Wagar,SD,79.84,clear sky,16.1525,36.2032,
261,Ciudad Bolivar,VE,79.56,overcast clouds,8.1222,-63.5497,Hotel Edi
266,Conakry,GN,75.36,light rain,9.538,-13.6773,Riviera Royal Hotel
268,Bathsheba,BB,79.52,scattered clouds,13.2167,-59.5167,Atlantis Hotel
273,Victoria,HK,77.05,overcast clouds,22.2855,114.1577,Mini Hotel Central
275,Ternate,ID,81.68,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
277,Luanda,AO,75.94,overcast clouds,-8.8368,13.2343,Hotel Fórum
281,Mindelo,CV,75.11,overcast clouds,16.8901,-24.9804,Hotel Gaudi
282,Sabang,ID,78.17,light rain,5.8933,95.3214,Hotel Citra
286,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
288,Lazaro Cardenas,MX,80.51,clear sky,17.9583,-102.2,quinta antigua
289,Maragogi,BR,75.52,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
291,Navirai,BR,74.1,scattered clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
292,Byron Bay,AU,83.88,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
294,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
295,Kibala,TD,76.8,overcast clouds,9.1104,18.3463,hotel safari
297,Muscat,OM,79.29,clear sky,23.6139,58.5922,Mutrah Hotel
300,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
301,Tawau,MY,80.02,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
302,Port Keats,AU,88.57,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
304,Bilma,NE,79.0,few clouds,18.6853,12.9164,Expeditions Ténére voyages
307,Kirakira,SB,86.56,broken clouds,-10.4544,161.9205,SanBiz Lodge
309,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
310,Taitung,TW,73.67,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
311,Itarema,BR,78.82,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
312,Singkang,MY,76.75,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
318,Bowen,AU,81.52,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
319,Tessalit,ML,81.5,overcast clouds,20.1986,1.0114,
324,Puro,PH,81.59,scattered clouds,12.4841,123.3827,
327,Honiara,SB,88.75,broken clouds,-9.4333,159.95,Heritage Park Hotel
340,Guerrero Negro,MX,74.19,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
345,Kalabo,ZM,72.64,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
348,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
354,Alta Floresta,BR,74.71,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
355,Porto Novo,BJ,79.23,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
359,Kavieng,PG,85.66,light rain,-2.5744,150.7967,Nusa Island Retreat
363,Coahuayana,MX,81.45,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
365,Yola,NG,79.0,broken clouds,9.2,12.4833,Muna Hotel
366,Umm Lajj,SA,82.58,clear sky,25.0213,37.2685,Moon light Furnished Units
367,Samarai,PG,84.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
368,Cabinda,AO,78.06,overcast clouds,-5.55,12.2,Hotel Maiombe
370,Sao Felix Do Xingu,BR,79.14,broken clouds,-6.6447,-51.995,Rio Xingu Camping
371,Linguere,SN,87.21,overcast clouds,15.3953,-15.1193,AYO Casablanca
373,Tabuk,PH,75.4,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
374,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
375,Noumea,NC,82.38,few clouds,-22.2763,166.4572,Hôtel Le Lagon
378,Malakal,SS,74.86,scattered clouds,9.5334,31.6605,Nile Palace Hotel
380,Palu,ID,77.94,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
381,Salinas,US,83.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
382,Lafia,NG,77.47,broken clouds,8.4833,8.5167,Low Cost Housing Estate
387,San Policarpo,PH,82.13,scattered clouds,12.1791,125.5072,Agapita M. Nicart
389,Lahat,ID,76.23,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
390,Trairi,BR,79.27,broken clouds,-3.2778,-39.2689,janelas do mar
398,Karratha,AU,77.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
400,Yaan,NG,77.67,overcast clouds,7.3833,8.5667,
403,Sao Filipe,CV,78.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
408,Mahajanga,MG,73.87,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
409,Simpang,ID,77.18,overcast clouds,-1.2667,104.0833,
410,Nago,JP,75.27,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
414,Douentza,ML,87.93,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
418,Acarau,BR,79.07,broken clouds,-2.8856,-40.12,castelo pizzaria
419,Namatanai,PG,86.68,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
422,Rio Muerto,MX,83.8,clear sky,27.4167,-110.2333,
424,Salinopolis,BR,78.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
426,Koupela,BF,87.19,broken clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
427,Ponta Delgada,PT,73.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
432,Viedma,AR,72.61,broken clouds,-40.8135,-62.9967,Hotel Cristal
437,Takoradi,GH,77.77,light rain,4.8845,-1.7554,Raybow International Hotel
439,Tari,NG,80.4,broken clouds,12.4086,4.4914,
444,Bosaso,SO,77.74,clear sky,11.2842,49.1816,Red Sea Hotel
445,Libertador General San Martin,AR,78.73,light rain,-23.8064,-64.7876,Posada del Sol
447,Nicoya,CR,76.05,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
450,Moissala,TD,74.68,overcast clouds,8.3404,17.7663,
453,Mitsamiouli,KM,77.79,scattered clouds,-11.3847,43.2844,Foyer ADM
455,General Pico,AR,81.91,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
461,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
462,Ilheus,BR,72.46,few clouds,-14.7889,-39.0494,Barravento Hotel
467,Cururupu,BR,74.61,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
476,Praia,CV,78.76,overcast clouds,14.9215,-23.5087,LT Aparthotel
477,Luba,GQ,77.29,moderate rain,3.4568,8.5547,
481,Visakhapatnam,IN,78.69,mist,17.69,83.2093,Best Western Ramachandra Hotel
485,Araouane,ML,81.97,overcast clouds,18.9048,-3.5265,
487,Porto Seguro,BR,75.09,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
489,Iseyin,NG,74.26,overcast clouds,7.9667,3.6,Momak Hotels And Suites
491,Salalah,OM,78.01,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
494,Sibu,MY,76.62,light rain,2.3,111.8167,RH HOTEL (4 Star)
496,Nisia Floresta,BR,77.63,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
497,Dong Xoai,VN,74.91,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
501,Mahibadhoo,MV,82.33,overcast clouds,3.7833,72.9667,Omadhoo Inn
502,Manzanillo,CU,78.03,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
507,Bo Phloi,TH,79.32,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
508,Sharjah,AE,77.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
510,Sinnamary,GF,79.7,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
512,Sur,OM,76.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
516,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
517,Santo Tomas,PH,83.55,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
520,San Jose,US,82.89,clear sky,37.3394,-121.895,The Westin San Jose
522,Biak,ID,81.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
531,Hambantota,LK,77.76,broken clouds,6.1241,81.1185,Bungalow 63
536,Freetown,SL,77.16,moderate rain,8.484,-13.2299,The Country Lodge Hotel
545,Pouebo,NC,79.83,few clouds,-20.4,164.5667,RIVÂT LODGE
546,Porbandar,IN,77.58,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
547,Baudh,IN,72.12,broken clouds,20.8416,84.3213,Hotel Parijat Palace
553,Kollam,IN,76.32,light rain,8.8833,76.6,Nani Hotels and Resorts
554,Kidal,ML,85.71,broken clouds,18.4411,1.4078,
555,Balikpapan,ID,74.39,thunderstorm with rain,-1.2675,116.8289,ibis Balikpapan
562,Ugoofaaru,MV,81.68,overcast clouds,5.6667,73.0,Ungoofaaru Inn
564,Panguna,PG,81.77,light rain,-6.3164,155.4848,
565,Biltine,TD,78.55,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
568,Sabya,SA,84.11,few clouds,17.1495,42.6254,Aseel Hotel Apartment
574,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
578,Blackwater,AU,87.37,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
583,Sumenep,ID,84.02,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
584,Mvomero,TZ,75.31,scattered clouds,-6.25,38.6667,Kisampa Bush Retreat
588,Nishihara,JP,74.48,clear sky,26.1842,127.7558,Minshuku Agaihama
590,Ballina,AU,81.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
591,Aswan,EG,79.21,few clouds,24.0934,32.907,Nuba Nile
593,Sawtell,AU,77.18,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
601,Taoudenni,ML,81.39,scattered clouds,22.6783,-3.9836,
605,Ewa Beach,US,87.01,few clouds,21.3156,-158.0072,Uncle Junior Robert
606,Roebourne,AU,79.48,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
611,Lompoc,US,85.08,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
612,Promissao,BR,78.06,scattered clouds,-21.5367,-49.8581,Recanto Monte Cristo
613,Minab,IR,77.76,clear sky,27.1467,57.0801,Bam campground
614,Port Said,EG,74.26,overcast clouds,31.2565,32.2841,Aracan Hotel
615,Goure,NE,84.02,overcast clouds,13.9835,10.2704,
619,Davila,PH,80.08,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
620,Atambua,ID,83.68,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
621,Xucheng,CN,75.51,broken clouds,20.35,110.1288,Haixing Hotel
626,Vinh,VN,72.54,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
633,Paka,MY,78.71,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
634,Manokwari,ID,83.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
636,Abeche,TD,78.35,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
638,Punalur,IN,74.82,overcast clouds,9.0,76.9333,Motel Araam
642,Dovers,VC,80.87,few clouds,12.8833,-61.1833,Ocean Breeze
645,Wajir,KE,79.52,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
646,Inirida,CO,73.71,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
648,Terra Santa,BR,81.12,broken clouds,-2.1042,-56.4869,Hotel Sarah
649,Biloela,AU,86.32,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
651,Lanja,IN,73.76,overcast clouds,16.85,73.55,Brahmagiri
653,Kieta,PG,85.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
654,Malim,PH,81.1,scattered clouds,7.452,123.4312,Malim
657,Moa,CU,80.04,broken clouds,20.6569,-74.9403,Carmen
659,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
663,Praia Grande,BR,77.23,broken clouds,-24.0058,-46.4028,Praia Canto do Forte Guest House
664,Andros Town,BS,80.89,overcast clouds,24.7,-77.7667,Hanks place
669,Alcantara,BR,76.95,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
670,Payo,ID,76.35,overcast clouds,-3.7508,103.6372,Mess keban agung
671,Fougamou,GA,73.98,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
675,Lubao,PH,80.15,broken clouds,14.9167,120.55,Hacienda Gracia
